11:36:23.874227 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:36:27.041999 IP 10.12.100.44.64913 > 10.12.19.23.843: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.044441 IP 10.12.100.44.64914 > 10.12.19.23.1123: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.046579 IP 10.12.100.44.64913 > 10.12.19.23.8045: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.046591 IP 10.12.100.44.64913 > 10.12.19.23.2967: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.046593 IP 10.12.100.44.64913 > 10.12.19.23.5850: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.092418 IP 10.12.100.44.64914 > 10.12.19.23.843: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.092442 IP 10.12.100.44.64914 > 10.12.19.23.5566: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.092444 IP 10.12.100.44.64914 > 10.12.19.23.32778: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.094881 IP 10.12.100.44.64912 > 10.12.19.23.1078: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.097342 IP 10.12.100.44.64914 > 10.12.19.23.5850: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.097360 IP 10.12.100.44.64914 > 10.12.19.23.2967: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.097362 IP 10.12.100.44.64914 > 10.12.19.23.8045: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.142533 IP 10.12.100.44.64912 > 10.12.19.23.2144: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.142556 IP 10.12.100.44.64912 > 10.12.19.23.5859: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.142558 IP 10.12.100.44.64912 > 10.12.19.23.1054: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.145101 IP 10.12.100.44.64913 > 10.12.19.23.1078: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.147461 IP 10.12.100.44.64912 > 10.12.19.23.6156: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.147477 IP 10.12.100.44.64912 > 10.12.19.23.2725: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.147479 IP 10.12.100.44.64912 > 10.12.19.23.10243: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.192682 IP 10.12.100.44.64913 > 10.12.19.23.1054: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.192705 IP 10.12.100.44.64913 > 10.12.19.23.5859: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.192707 IP 10.12.100.44.64913 > 10.12.19.23.2144: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.195406 IP 10.12.100.44.64914 > 10.12.19.23.1078: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.197740 IP 10.12.100.44.64913 > 10.12.19.23.10243: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.197759 IP 10.12.100.44.64913 > 10.12.19.23.2725: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.197761 IP 10.12.100.44.64913 > 10.12.19.23.6156: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.242841 IP 10.12.100.44.64914 > 10.12.19.23.2144: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.242916 IP 10.12.100.44.64914 > 10.12.19.23.5859: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.242918 IP 10.12.100.44.64914 > 10.12.19.23.1054: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.245627 IP 10.12.100.44.64912 > 10.12.19.23.340: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.248226 IP 10.12.100.44.64914 > 10.12.19.23.6156: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.248238 IP 10.12.100.44.64914 > 10.12.19.23.2725: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.248240 IP 10.12.100.44.64914 > 10.12.19.23.10243: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:27.293147 IP 10.12.100.44.64912 > 10.12.19.23.10617: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.293194 IP 10.12.100.44.64912 > 10.12.19.23.57797: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.293196 IP 10.12.100.44.64912 > 10.12.19.23.1145: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.295617 IP 10.12.100.44.64913 > 10.12.19.23.340: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.298652 IP 10.12.100.44.64912 > 10.12.19.23.1045: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.298660 IP 10.12.100.44.64912 > 10.12.19.23.1026: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.298674 IP 10.12.100.44.64912 > 10.12.19.23.631: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.343388 IP 10.12.100.44.64913 > 10.12.19.23.1145: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
