16:21:46.185930 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:21:46.185980 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:21:49.510998 IP 10.12.100.171.43772 > 10.12.19.23.12174: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.561099 IP 10.12.100.171.43772 > 10.12.19.23.1026: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.561116 IP 10.12.100.171.43772 > 10.12.19.23.144: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.561117 IP 10.12.100.171.43772 > 10.12.19.23.1000: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.561119 IP 10.12.100.171.43772 > 10.12.19.23.20000: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.561120 IP 10.12.100.171.43772 > 10.12.19.23.161: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.561174 IP 10.12.100.171.43772 > 10.12.19.23.2605: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.561178 IP 10.12.100.171.43770 > 10.12.19.23.50006: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.611384 IP 10.12.100.171.43771 > 10.12.19.23.50006: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.611406 IP 10.12.100.171.43770 > 10.12.19.23.5222: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.611407 IP 10.12.100.171.43770 > 10.12.19.23.52869: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.611409 IP 10.12.100.171.43770 > 10.12.19.23.1035: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.611410 IP 10.12.100.171.43770 > 10.12.19.23.27000: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.611412 IP 10.12.100.171.43770 > 10.12.19.23.8000: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.611443 IP 10.12.100.171.43770 > 10.12.19.23.6002: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.658217 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:21:49.661429 IP 10.12.100.171.43771 > 10.12.19.23.1035: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.661437 IP 10.12.100.171.43771 > 10.12.19.23.52869: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.661439 IP 10.12.100.171.43771 > 10.12.19.23.5222: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.661440 IP 10.12.100.171.43772 > 10.12.19.23.50006: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.663842 IP 10.12.100.171.43771 > 10.12.19.23.6002: Flags [.], ack 4201578650, win 1024, length 0
