16:18:56.442910 IP 10.12.10.1.5353 > 224.0.0.251.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:56.442937 IP6 fe80::10ff:9e5:978:2f7e.5353 > ff02::fb.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:57.402921 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:19:00.985034 IP 10.12.100.171.44370 > 10.12.19.23.24800: Flags [none], win 1024, length 0
16:19:00.985052 IP 10.12.100.171.44370 > 10.12.19.23.4000: Flags [none], win 1024, length 0
16:19:00.985053 IP 10.12.100.171.44370 > 10.12.19.23.5825: Flags [none], win 1024, length 0
16:19:01.032632 IP 10.12.100.171.44371 > 10.12.19.23.1721: Flags [none], win 1024, length 0
16:19:01.035069 IP 10.12.100.171.44371 > 10.12.19.23.5825: Flags [none], win 1024, length 0
16:19:01.035088 IP 10.12.100.171.44371 > 10.12.19.23.4000: Flags [none], win 1024, length 0
16:19:01.035089 IP 10.12.100.171.44371 > 10.12.19.23.24800: Flags [none], win 1024, length 0
16:19:01.035090 IP 10.12.100.171.44371 > 10.12.19.23.2710: Flags [none], win 1024, length 0
16:19:01.082743 IP 10.12.100.171.44369 > 10.12.19.23.2910: Flags [none], win 1024, length 0
16:19:01.085567 IP 10.12.100.171.44369 > 10.12.19.23.50006: Flags [none], win 1024, length 0
16:19:01.085572 IP 10.12.100.171.44369 > 10.12.19.23.1024: Flags [none], win 1024, length 0
16:19:01.085573 IP 10.12.100.171.44369 > 10.12.19.23.8031: Flags [none], win 1024, length 0
16:19:01.085640 IP 10.12.100.171.44369 > 10.12.19.23.4998: Flags [none], win 1024, length 0
16:19:01.133001 IP 10.12.100.171.44370 > 10.12.19.23.2910: Flags [none], win 1024, length 0
16:19:01.136091 IP 10.12.100.171.44370 > 10.12.19.23.4998: Flags [none], win 1024, length 0
16:19:01.136096 IP 10.12.100.171.44370 > 10.12.19.23.8031: Flags [none], win 1024, length 0
16:19:01.136098 IP 10.12.100.171.44370 > 10.12.19.23.1024: Flags [none], win 1024, length 0
16:19:01.136099 IP 10.12.100.171.44370 > 10.12.19.23.50006: Flags [none], win 1024, length 0
16:19:01.183087 IP 10.12.100.171.44371 > 10.12.19.23.2910: Flags [none], win 1024, length 0
16:19:01.186747 IP 10.12.100.171.44371 > 10.12.19.23.50006: Flags [none], win 1024, length 0
16:19:01.186792 IP 10.12.100.171.44371 > 10.12.19.23.1024: Flags [none], win 1024, length 0
16:19:01.186793 IP 10.12.100.171.44371 > 10.12.19.23.8031: Flags [none], win 1024, length 0
16:19:01.186794 IP 10.12.100.171.44371 > 10.12.19.23.4998: Flags [none], win 1024, length 0
16:19:01.233265 IP 10.12.100.171.44369 > 10.12.19.23.5903: Flags [none], win 1024, length 0
16:19:01.237300 IP 10.12.100.171.44369 > 10.12.19.23.1045: Flags [none], win 1024, length 0
16:19:01.237306 IP 10.12.100.171.44369 > 10.12.19.23.5051: Flags [none], win 1024, length 0
16:19:01.237307 IP 10.12.100.171.44369 > 10.12.19.23.7777: Flags [none], win 1024, length 0
16:19:01.237353 IP 10.12.100.171.44369 > 10.12.19.23.7800: Flags [none], win 1024, length 0
16:19:01.283326 IP 10.12.100.171.44370 > 10.12.19.23.5903: Flags [none], win 1024, length 0
16:19:01.288061 IP 10.12.100.171.44370 > 10.12.19.23.7800: Flags [none], win 1024, length 0
16:19:01.288067 IP 10.12.100.171.44370 > 10.12.19.23.7777: Flags [none], win 1024, length 0
16:19:01.288068 IP 10.12.100.171.44370 > 10.12.19.23.5051: Flags [none], win 1024, length 0
16:19:01.288104 IP 10.12.100.171.44370 > 10.12.19.23.1045: Flags [none], win 1024, length 0
16:19:01.334503 IP 10.12.100.171.44371 > 10.12.19.23.5903: Flags [none], win 1024, length 0
16:19:01.338573 IP 10.12.100.171.44371 > 10.12.19.23.1045: Flags [none], win 1024, length 0
16:19:01.338578 IP 10.12.100.171.44371 > 10.12.19.23.5051: Flags [none], win 1024, length 0
16:19:01.338579 IP 10.12.100.171.44371 > 10.12.19.23.7777: Flags [none], win 1024, length 0
16:19:01.338580 IP 10.12.100.171.44371 > 10.12.19.23.7800: Flags [none], win 1024, length 0
16:19:01.384758 IP 10.12.100.171.44369 > 10.12.19.23.5910: Flags [none], win 1024, length 0
16:19:01.389074 IP 10.12.100.171.44369 > 10.12.19.23.52848: Flags [none], win 1024, length 0
16:19:01.389100 IP 10.12.100.171.44369 > 10.12.19.23.2383: Flags [none], win 1024, length 0
16:19:01.389101 IP 10.12.100.171.44369 > 10.12.19.23.12345: Flags [none], win 1024, length 0
16:19:01.389102 IP 10.12.100.171.44369 > 10.12.19.23.2998: Flags [none], win 1024, length 0
16:19:01.435533 IP 10.12.100.171.44370 > 10.12.19.23.5910: Flags [none], win 1024, length 0
16:19:01.439712 IP 10.12.100.171.44370 > 10.12.19.23.2998: Flags [none], win 1024, length 0
