11:44:14.061309 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:44:18.098514 IP 10.12.100.44.45008 > 10.12.19.23.7435: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:18.098516 IP 10.12.100.44.45007 > 10.12.19.23.464: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:18.148774 IP 10.12.100.44.45008 > 10.12.19.23.464: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:18.148792 IP 10.12.100.44.45009 > 10.12.19.23.7435: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:18.148794 IP 10.12.100.44.45009 > 10.12.19.23.3003: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:18.199149 IP 10.12.100.44.45009 > 10.12.19.23.464: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:18.199193 IP 10.12.100.44.45007 > 10.12.19.23.8000: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:18.199194 IP 10.12.100.44.45007 > 10.12.19.23.1079: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:18.250056 IP 10.12.100.44.45008 > 10.12.19.23.1079: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:18.250085 IP 10.12.100.44.45008 > 10.12.19.23.8000: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:18.250087 IP 10.12.100.44.45007 > 10.12.19.23.5432: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:18.301082 IP 10.12.100.44.45008 > 10.12.19.23.5432: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
