11:45:57.047123 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:46:00.329403 IP 10.12.100.44.55668 > 10.12.19.23.2046: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.372070 IP 10.12.100.44.55669 > 10.12.19.23.16000: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.374897 IP 10.12.100.44.55669 > 10.12.19.23.9290: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.374908 IP 10.12.100.44.55669 > 10.12.19.23.1037: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.374984 IP 10.12.100.44.55669 > 10.12.19.23.32771: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.374992 IP 10.12.100.44.55669 > 10.12.19.23.1114: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.377345 IP 10.12.100.44.55669 > 10.12.19.23.10180: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.379502 IP 10.12.100.44.55669 > 10.12.19.23.2046: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.379522 IP 10.12.100.44.55669 > 10.12.19.23.7627: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.379524 IP 10.12.100.44.55670 > 10.12.19.23.1580: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.422296 IP 10.12.100.44.55670 > 10.12.19.23.16000: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.425225 IP 10.12.100.44.55670 > 10.12.19.23.1114: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.425234 IP 10.12.100.44.55670 > 10.12.19.23.32771: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.425236 IP 10.12.100.44.55670 > 10.12.19.23.1037: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.425238 IP 10.12.100.44.55670 > 10.12.19.23.9290: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.427674 IP 10.12.100.44.55670 > 10.12.19.23.10180: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.430037 IP 10.12.100.44.55670 > 10.12.19.23.7627: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.430046 IP 10.12.100.44.55670 > 10.12.19.23.2046: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.430048 IP 10.12.100.44.55668 > 10.12.19.23.524: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.472505 IP 10.12.100.44.55668 > 10.12.19.23.2106: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.475585 IP 10.12.100.44.55668 > 10.12.19.23.2049: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.475608 IP 10.12.100.44.55668 > 10.12.19.23.7512: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.475610 IP 10.12.100.44.55668 > 10.12.19.23.9009: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.475612 IP 10.12.100.44.55668 > 10.12.19.23.667: Flags [.], ack 3264816852, win 1024, length 0
